0,1,2,3,4,5
Disclosure Requirement and related,SFDR reference,Pillar 3 reference,"Benchmark 
Regulation",EU Climate Law,Pages
datapoint,,,reference,reference,
"ESRS E1-5 Energy consumption and mix 
paragraph 37",x,,,,127-128
"ESRS E1-5 Energy intensity associated 
with activities in high climate impact",x,,,,Not material
sectors paragraphs 40 to 43,,,,,
"ESRS E1-6 Gross Scope 1, 2, 3 and 
Total GHG emissions paragraph 44",x,x,x,,128-129
"ESRS E1-6 Gross GHG emissions 
intensity paragraphs 53 to 55",x,x,x,,138
"ESRS E1-7 GHG removals and carbon 
credits paragraph 56",,,,x,Not material
"ESRS E1-9 Exposure of the benchmark 
portfolio to climate-related physical risks",,,x,,Not material
paragraph 66,,,,,(phase-in)
"ESRS E1-9 Disaggregation of monetary 
amounts by acute and chronic physical",,,,,
risk paragraph 66 (a) ESRS E1-9,,x,,,"Not material 
(phase-in)"
"Location of significant assets at material 
physical risk paragraph 66 (c)",,,,,
"ESRS E1-9 Breakdown of the carrying 
value of its real estate assets by energy-",,x,,,Not material
efficiency classes paragraph 67 (c),,,,,(phase-in)
"ESRS E1-9 Degree of exposure of the 
portfolio to climate- related opportunities",,,x,,Not material
paragraph 69,,,,,(phase-in)
"ESRS E2-4 Amount of each pollutant 
listed in Annex II of the E-PRTR",,,,,
Regulation (European Pollutant Release,x,,,,"Not material 
(phase-in)"
"and Transfer Register) emitted to air, 
water and soil, paragraph 28",,,,,
"ESRS E3-1 Water and marine resources 
paragraph 9",x,,,,Not material
"ESRS E3-1 Dedicated policy paragraph 
13",x,,,,Not material
"ESRS E3-1 Sustainable oceans and seas 
paragraph 14",x,,,,Not material
"ESRS E3-4 Total water recycled and 
reused paragraph 28 (c)",x,,,,Not material
"ESRS E3-4 Total water consumption in m 
3 per net revenue on own operations",x,,,,Not material
paragraph 29,,,,,
ESRS 2- SBM 3 - E4 paragraph 16 (a) i,x,,,,Not material
ESRS 2- SBM 3 - E4 paragraph 16 (b),x,,,,Not material
ESRS 2- SBM 3 - E4 paragraph 16 (c),x,,,,Not material
"ESRS E4-2 Sustainable land / agriculture 
practices or policies paragraph 24 (b)",x,,,,Not material
"ESRS E4-2 Sustainable oceans / seas 
practices or policies paragraph 24 (c)",x,,,,Not material
"ESRS E4-2 Policies to address 
deforestation paragraph 24 (d)",x,,,,Not material
