0,1,2,3,4,5,6,7
Datapoints derived from EU legislation,,,,,,,
"Disclosure 
requirement",Datapoint,SFDR reference,Pillar reference,"Benchmark 
Regulation","EU Climate Law 
reference",Page number,
,,,,reference,,,
ESRS 2 GOV-1,Board's gender diversity paragraph 21 (d),●,,●,,34,
ESRS 2 GOV-1,Percentage of board members who are independent paragraph 21 (e),●,,●,,37,
ESRS 2 GOV-4,Statement on due diligence paragraph 30,●,●,●,,103,
ESRS 2 SBM-1,Involvement in activities related to fossil fuel activities paragraph 40 (d) i,●,,●,,Not material,
ESRS 2 SBM-1,Involvement in activities related to chemical production paragraph 40 (d) ii,●,,●,,Not material,
ESRS 2 SBM-1,Involvement in activities related to controversial weapons paragraph 40 (d) iii,,,●,,Not material,
ESRS 2 SBM-1,Involvement in activities related to cultivation and production of tobacco paragraph 40 (d) iv,,,,●,Not material,
ESRS E1-1,Transition plan to reach climate neutrality by 2050 paragraph 14,,●,●,,"61, 62",
ESRS E1-1,Undertakings excluded from Paris-aligned Benchmarks paragraph 16 (g),●,●,●,,61,
ESRS E1-4,GHG emission reduction targets paragraph 34,●,●,,,"64, 65",
ESRS E1-5,Energy consumption from fossil sources disaggregated by sources (only high climate impact sectors) paragraph 38,●,,,,65,
ESRS E1-5,Energy consumption and mix paragraph 37,●,,,,65,
ESRS E1-5,Energy intensity associated with activities in high climate impact sectors paragraphs 40 to 43,●,●,●,,65,
ESRS E1-6,"Gross Scope 1, 2, 3 and Total GHG emissions paragraph 44",,,,●,66,
ESRS E1-7,GHG removals and carbon credits paragraph 56,,,●,,Not material,
ESRS E1-9,Exposure of the benchmark portfolio to climate-related physical risks paragraph 66,,●,,,Phase-in,
ESRS E1-9,"Disaggregation of monetary amounts by acute and chronic physical risk paragraph 66 (a) ESRS E1-9 Location of 
significant assets at material physical risk paragraph 66 (c).",,,,,Phase-in,
ESRS E1-9,Breakdown of the carrying value of its real estate assets by energy-efficiency classes paragraph 67 (c).,,●,,,Phase-in,
ESRS E1-9,Degree of exposure of the portfolio to climate- related opportunities paragraph 69,,,●,,Phase-in,
ESRS E2-4,Amount of each pollutant listed in Annex II of the E-PRTR Regulation (European Pollutant Release and Transfer,●,,,,Not material,
,"Register) emitted to air, water and soil, paragraph 28",●,,,,,
ESRS E3-1,Water and marine resources paragraph 9,●,,,,Not material,
ESRS E3-1,Dedicated policy paragraph 13,●,,,,Not material,
ESRS E3-1,Sustainable oceans and seas paragraph 14,●,,,,Not material,
ESRS E3-4,Total water recycled and reused paragraph 28 (c),,,,,Not material,
Bavarian Nordic,Annual Report 2024,,,,,,106
