0,1,2,3,4,5,6,7
,Disclosure requirement,1,2,"Benchmark 
3
Regulation","EU Climate 
4
Law",,
,and related data point,"SFDR
 reference","Pillar 3
 reference",reference,reference,Outcome of DMA,Reference
,"ESRS G1-4,
para. 24 (a)","Indicator no 17 Table #3 
Annex 1",,"Regulation (EU) 
2020/1816,",,material,275
,,,,Annex II,,,
,"ESRS G1-4,
para. 24 (b)","Indicator no 16 Table #3 
Annex 1",,,,material,not applicable
1,,SFDR = Regulation (EU) 2019/2088 of the European Parliament and of the Council of 27 November 2019 on sustainability-related disclosures in,,,,,
