0,1
Employees broken down by regions and countries1,
[ESRS 2 SBM-1-40a-iii],
Head count,
,"December 31, 2024"
Austria,"5,407"
Rest of Europe,"16,723"
Middle East & Africa,639
Rest of the world,788
TOTAL,"23,557"
