0,1
E,E1 Climate change
,E2 Pollution
,E3 Water & marine resources
,E4 Biodiversity & ecosystems
,E5 Circular economy
S,"S1 Own workforce
n/a
n/a
n/a
n/a
n/a
S2 Workers in the value chain
n/a
n/a
S3 Affected communities
n/a
S4 Consumers & end-users
n/a"
