0,1,2,3
Environmental standards – ESRS E1 “Climate change”,,,
"Standard 
section",Disclosure requirement,Section/report,"Additional 
information"
"ESRS 2, 
GOV-3","Integration of sustainability-related 
performance in incentive schemes","GOV-3 Integration of sustainability-related 
performance in incentive schemes",
E1-1,Transition plan for climate change mitigation,"E1-1 Transition plan for climate 
change mitigation",
"ESRS 2, 
SBM-3","Material impacts, risks and opportunities, 
and their interaction with strategy and 
business model","SBM-3 Material impacts, risks and 
opportunities related to climate change",
