0,1,2,3
Cross-cutting standards – ESRS 2 “General disclosures”,,,
"Standard 
section",Disclosure requirement,Section/report,"Additional 
information"
SBM-3,"Material impacts, risks and opportunities 
and their interaction with strategy and 
business model","SBM-3 Material sustainability-related impacts, 
risks and opportunities","Also detailed per 
each ESRS topic 
in respective 
sections."
IRO-1,"Description of the process to identify 
and assess material impacts, risks 
and opportunities","IRO-1 Description of the process to 
identify and assess material impacts, risks 
and opportunities",
IRO-2,"Disclosure requirements in ESRS 
covered by the undertaking’s 
sustainability statement","IRO-2 Disclosure requirements in 
ESRS covered by the undertaking’s 
sustainability report","Detailed per each 
ESRS topic."
